MC1	MC2	MC3	Code	PRIO	DEFINITIE
Brand	Natuur	Riet	brntri	2	Brandmelding van begroeiing in een gebied wat op gebruiksdoeleinden-/natuurkaart/in GMS als rietvelden wordt aangemerkt. Het gaat hier om grotere oppervlaktes en dus niet om een strook riet langs een sloot of waterweg. In die laatste gevallen gaat het om een buitenbrand berm/ruigte of bosschage.
Brand	Natuur	Veen	brntve	2	Brandmelding van begroeiing en of veenbodem in gebied dat op gebruiksdoeleinden-/ natuur kaart/ in GMS als veengebied wordt aangemerkt.
Brand	Scheepvaart		brsh	2	Brandmelding van/in vaartuig met uitzondering van drijvende objecten die in verband met de primaire functie zelden verplaatst worden zoals een woonboot, gevangenisboot, hotelschip en dergelijke.
Brand	Specifiek		brsf	3	Classificatie voor brandmeldingen waarbij naar verwachting geen, of geen omvangrijke, brandweerinzet (meer) nodig is. En het type object, in principe, niet bepalend is voor de inzet.
Brand	Specifiek	Brandgerucht	brsfbg	3	Meldingen waarbij het zeer twijfelachtig is of er een te blussen brand is. Dit omdat de melder alleen een brandlucht waarneemt of alleen rook of vuurverschijnselen op afstand meldt, waarbij de melder niet kan aangeven wat er dan mogelijk in brand staat.
Brand	Specifiek	Nablussen	brsfnb	3	Meldingen dat er op locatie waar, niet al te lang daarvoor een brand is geblust, het opnieuw begint te branden. Dit is echter niet zodanig dat een inzet met spoed nodig geacht wordt.
Brand	Specifiek	Nacontrole	brsfnc	3	Melding van mensen die zelf een brandje geblust hebben maar er niet 100 procent zeker van zijn dat het uit is, of die na blikseminslag zonder direct waarneembare brandverschijnselen aangeven er niet zeker van te zijn of die echt geen brand veroorzaakt heeft en de brandweer verzoeken een nacontrole te doen, of er echt geen brand meer is.
Brand	Spoorvervoer		brsp	2	Brandmelding van/in spoorvervoermiddel maar niet in een tunnel of in een station. Indien vervoermiddel in tunnel en/of onderstations overkapping dan wel direct tegen stationsgebouw, dan gebouwbrand betreffende tunnel en/of stationsobject.
Brand	Wegvervoer		brwe	2	Brandmelding van/in wegvervoermiddel en (land/wegen)bouwmachine op de weg of in het vrije veld. Indien de brand in de tunnel/onder viaduct of in/direct tegen gebouw is, dan voor gebouwbrand, en zo mogelijk betreffend object(type) kiezen.
Dienstverlening			dv		Het verlenen van hulp en diensten aan derden en aan de eigen dienst. Niet betreffende de directe inzet voor een incident of besteld vervoer tenzij het grootschalige bijstand buiten de regio/ werkingsgebied meldkamer betreft.
Dienstverlening	Ambulancezorg		dvab	5	Het verlenen van hulp en leveren van diensten door de ambulancedienst aan derden en de eigen dienst. Niet zijnde directe inzet tenzij het grootschalige bijstand buiten de regio/werkingsgebied betreft.
Dienstverlening	Ambulancezorg	Afgebroken inzet	dvabai	5	Een gestartte versnelde inzet waarbij na triage duidelijk is dat er geen inzet benodigd is.
Dienstverlening	Ambulancezorg	Afstemverzoek	dvabav	5	Verzoek van de alarmcentrale aan contactpersoon van de ambulancedienst in een bepaald gebied, om contact op te nemen met de meldkamer voor overleg hoe om te gaan met een niet spoedeisende, mogelijk nog nader te classificeren zaak.
Dienstverlening	Ambulancezorg	Bijstand	dvabbs	5	Bijstand aanvraag/-inzet van de ambulancedienst voor (grootschalige) inzet buiten het werkgebied van de meldkamer
Dienstverlening	Ambulancezorg	Dienst aan derden	dvabdd	5	Het verlenen van diensten aan derden door de ambulancedienst
Dienstverlening	Ambulancezorg	Geplande actie	dvabga	5	
Dienstverlening	Ambulancezorg	Oefening	dvaboe	5	Het verwerken van een fictief incident, voor trainingsdoeleinden.
Dienstverlening	Ambulancezorg	Opnamestop	dvabos	5	Indien een ziekenhuis een opnamestop afkondigt.
Dienstverlening	Ambulancezorg	Testmelding	dvabtm	5	Het verwerken van een testmelding, voor doeleinden om berichtaflevering/aansturing te testen
Dienstverlening	Ambulancezorg	VWS	dvabvw	4	Voorwaardescheppend
Dienstverlening	Brandweer		dvbw	5	Het verlenen van hulp en leveren van diensten door de brandweer aan derden en de eigen dienst. Niet zijnde directe inzet voor een incident tenzij het grootschalige bijstand buiten de regio/werkingsgebied betreft.
Dienstverlening	Brandweer	Afstemverzoek	dvbwav	5	Verzoek van de alarmcentrale aan contactpersoon van de brandweer in een bepaald gebied, om contact op te nemen met de meldkamer voor overleg hoe om te gaan met een niet spoedeisende, mogelijk nog nader te classificeren zaak.
